Date,Rating,Review_No_x,Review_No_y,Perc
2017-07-05,1,5,140,0.03571428571428571
2017-07-05,3,6,140,0.04285714285714286
2017-07-05,4,13,140,0.09285714285714286
2017-07-05,5,116,140,0.8285714285714286
2017-07-06,1,8,157,0.050955414012738856
2017-07-06,2,2,157,0.012738853503184714
2017-07-06,3,7,157,0.044585987261146494
2017-07-06,4,19,157,0.12101910828025478
2017-07-06,5,121,157,0.7707006369426752
2017-07-07,1,4,131,0.030534351145038167
2017-07-07,2,3,131,0.022900763358778626
2017-07-07,3,6,131,0.04580152671755725
2017-07-07,4,15,131,0.11450381679389313
2017-07-07,5,103,131,0.7862595419847328
2017-07-08,1,10,151,0.06622516556291391
2017-07-08,2,2,151,0.013245033112582781
2017-07-08,3,3,151,0.019867549668874173
2017-07-08,4,25,151,0.16556291390728478
2017-07-08,5,111,151,0.7350993377483444
2017-07-09,1,12,188,0.06382978723404255
2017-07-09,2,1,188,0.005319148936170213
2017-07-09,3,3,188,0.015957446808510637
2017-07-09,4,21,188,0.11170212765957446
2017-07-09,5,151,188,0.8031914893617021
2017-07-10,1,13,149,0.087248322147651
2017-07-10,2,2,149,0.013422818791946308
2017-07-10,3,4,149,0.026845637583892617
2017-07-10,4,19,149,0.12751677852348994
2017-07-10,5,111,149,0.7449664429530202
2017-07-11,1,11,134,0.08208955223880597
2017-07-11,2,2,134,0.014925373134328358
2017-07-11,3,2,134,0.014925373134328358
2017-07-11,4,17,134,0.12686567164179105
2017-07-11,5,102,134,0.7611940298507462
2017-07-12,1,9,123,0.07317073170731707
2017-07-12,2,4,123,0.032520325203252036
2017-07-12,3,6,123,0.04878048780487805
2017-07-12,4,13,123,0.10569105691056911
2017-07-12,5,91,123,0.7398373983739838
2017-07-13,1,8,108,0.07407407407407407
2017-07-13,2,1,108,0.009259259259259259
2017-07-13,3,7,108,0.06481481481481481
2017-07-13,4,11,108,0.10185185185185185
2017-07-13,5,81,108,0.75
2017-07-14,1,7,116,0.0603448275862069
2017-07-14,2,4,116,0.034482758620689655
2017-07-14,3,4,116,0.034482758620689655
2017-07-14,4,13,116,0.11206896551724138
2017-07-14,5,88,116,0.7586206896551724
2017-07-15,1,5,116,0.04310344827586207
2017-07-15,2,3,116,0.02586206896551724
2017-07-15,3,7,116,0.0603448275862069
2017-07-15,4,15,116,0.12931034482758622
2017-07-15,5,86,116,0.7413793103448276
2017-07-16,1,6,146,0.0410958904109589
2017-07-16,3,6,146,0.0410958904109589
2017-07-16,4,18,146,0.1232876712328767
2017-07-16,5,116,146,0.7945205479452054
2017-07-17,1,10,124,0.08064516129032258
2017-07-17,2,1,124,0.008064516129032258
2017-07-17,3,5,124,0.04032258064516129
2017-07-17,4,21,124,0.1693548387096774
2017-07-17,5,87,124,0.7016129032258065
2017-07-18,1,8,110,0.07272727272727272
2017-07-18,3,2,110,0.01818181818181818
2017-07-18,4,11,110,0.1
2017-07-18,5,89,110,0.8090909090909091
2017-07-19,1,4,141,0.028368794326241134
2017-07-19,2,3,141,0.02127659574468085
2017-07-19,3,7,141,0.04964539007092199
2017-07-19,4,12,141,0.0851063829787234
2017-07-19,5,115,141,0.8156028368794326
2017-07-20,1,12,170,0.07058823529411765
